array_element_name	array_element_type	organism	is_control	locus	description	chromosome	start	stop
251529_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58570	DEAD box RNA helicase, putative	3	21670742	21671266
251530_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58520	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G48040.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO23445.1); contains InterPro domain Protein of unknown function DUF860, plant (InterPro:IPR008578)	3	21655004	21655495
251531_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58550	protease inhibitor/seed storage/lipid transfer protein (LTP) family protein	3	21660491	21661154
251532_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58530	F-box family protein-related	3	21658139	21659177
251533_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58460	rhomboid family protein / ubiquitin-associated (UBA)/TS-N domain-containing protein	3	21634470	21635578
251534_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58510	DEAD box RNA helicase, putative (RH11)	3	21653947	21654436
251535_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58540	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G06190.1)	3	21660002	21660195
251536_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58610	ketol-acid reductoisomerase	3	21684624	21685608
251537_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58470	similar to Os03g0749900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051279.1); similar to predicted protein [Physcomitrella patens subsp. patens] (GB:EDQ56592.1); contains domain PTHR13200 (PTHR13200)	3	21638115	21639261
251538_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58660	60S ribosomal protein-related	3	21713297	21713865
251539_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58690	protein kinase family protein	3	21721452	21722206
251540_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58740	CSY1 (CITRATE SYNTHASE 1); citrate (SI)-synthase	3	21732068	21733227
251541_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58750	CSY2 (CITRATE SYNTHASE 2); citrate (SI)-synthase	3	21735546	21736487
251542_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58760	ankyrin protein kinase, putative	3	21741525	21742715
251543_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58770	similar to hypothetical protein [Vitis vinifera] (GB:CAN63610.1)	3	21745625	21746025
251544_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58790	GAUT15 (Galacturonosyltransferase 15); polygalacturonate 4-alpha-galacturonosyltransferase/ transferase, transferring glycosyl groups / transferase, transferring hexosyl groups	3	21753457	21754203
251545_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58810	MTPA2; efflux transmembrane transporter/ zinc ion transmembrane transporter	3	21762269	21762818
251546_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58830	haloacid dehalogenase (HAD) superfamily protein	3	21766427	21767177
251547_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58860	F-box family protein	3	21774742	21775507
251548_at	oligonucleotide	Arabidopsis thaliana	no	no_match	no_match	no_match	no_match	no_match
251549_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58890	syntaxin-related family protein	3	21782632	21783552
251550_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58800	similar to unnamed protein product [Vitis vinifera] (GB:CAO70032.1); contains domain alpha/beta-Hydrolases (SSF53474)	3	21760016	21760540
251551_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58680	ATMBF1B/MBF1B (MULTIPROTEIN BRIDGING FACTOR 1B); DNA binding / transcription coactivator	3	21718375	21719590
251552_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58700	60S ribosomal protein L11 (RPL11B)	3	21722739	21723706
251553_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58710	WRKY69 (WRKY DNA-binding protein 69); transcription factor	3	21726502	21727738
251554_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58670	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G42670.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48045.1); contains InterPro domain Protein of unknown function DUF1637 (InterPro:IPR012864)	3	21715040	21715919
251555_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58780	SHP1 (SHATTERPROOF 1); DNA binding / transcription factor	3	21750280	21752713
251556_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58840	similar to myosin heavy chain-related [Arabidopsis thaliana] (TAIR:AT1G06530.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN71058.1); contains domain PTHR19269 (PTHR19269); contains domain PTHR19269:SF2 (PTHR19269:SF2)	3	21768477	21769050
251557_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58730	(VACUOLAR ATP SYNTHASE SUBUNIT D); ATPase, coupled to transmembrane movement of substances / hydrogen ion transporting ATPase, rotational mechanism	3	21729511	21730069
251558_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57810	OTU-like cysteine protease family protein	3	21427689	21428759
251559_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58010	Identical to Probable plastid-lipid-associated protein 9, chloroplast precursor  (PAP9) [Arabidopsis Thaliana] (GB:Q9M2P7); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G42130.4); similar to unknown [Populus trichocarpa] (GB:ABK96151.1)	3	21486955	21487793
251560_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57920	squamosa promoter-binding protein, putative	3	21455435	21455995
251561_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57870	AHUS5 (SUMO CONJUGATION ENZYME 1); ubiquitin-protein ligase	3	21439811	21441080
251562_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57890	tubulin-specific chaperone C-related	3	21451484	21452669
251563_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57880	C2 domain-containing protein	3	21442189	21442703
251564_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58160	XIJ (Myosin-like protein XIJ)	3	21551824	21552567
251565_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58190	ASL16/LBD29 (LOB DOMAIN-CONTAINING PROTEIN 29)	3	21559755	21560396
251566_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58210	meprin and TRAF homology domain-containing protein / MATH domain-containing protein	3	21573630	21574283
251567_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58230	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G58320.1); contains domain PTHR10420 (PTHR10420); contains domain PTHR10420:SF29 (PTHR10420:SF29)	3	21577848	21578356
251568_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58280	similar to meprin and TRAF homology domain-containing protein / MATH domain-containing protein [Arabidopsis thaliana] (TAIR:AT3G58290.1); contains InterPro domain MATH (InterPro:IPR002083); contains InterPro domain TRAF-like (InterPro:IPR008974)	3	21589602	21590256
251569_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58290	meprin and TRAF homology domain-containing protein / MATH domain-containing protein	3	21591599	21592419
251570_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58300	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G58330.1); contains domain PTHR10420 (PTHR10420); contains domain PTHR10420:SF29 (PTHR10420:SF29)	3	21593747	21594326
251571_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58330	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G58300.1); similar to MATH domain containing protein [Brassica oleracea] (GB:ABD65138.1); contains domain PTHR10420 (PTHR10420); contains domain PTHR10420:SF29 (PTHR10420:SF29)	3	21598359	21598963
251572_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58390	eukaryotic release factor 1 family protein / eRF1 family protein	3	21611033	21611583
251573_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58140	phenylalanyl-tRNA synthetase class IIc family protein	3	21541196	21542390
251574_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58100	glycosyl hydrolase family protein 17	3	21526407	21527257
251575_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58120	bZIP transcription factor family protein	3	21532297	21533661
251576_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58200	meprin and TRAF homology domain-containing protein / MATH domain-containing protein	3	21571080	21571745
251577_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58350	meprin and TRAF homology domain-containing protein / MATH domain-containing protein	3	21602600	21603339
251578_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58180	PBS lyase HEAT-like repeat-containing protein	3	21555964	21556782
251579_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58170	ATBS14A; protein transporter	3	21553610	21554750
251580_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58450	universal stress protein (USP) family protein	3	21633031	21633821
251581_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58560	endonuclease/exonuclease/phosphatase family protein	3	21661866	21663007
251582_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58580	hydrolase	3	21671854	21672735
251583_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58590	pentatricopeptide (PPR) repeat-containing protein	3	21678896	21679457
251584_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58620	TTL4 (TETRATRICOPETIDE-REPEAT THIOREDOXIN-LIKE 4); binding	3	21693110	21693931
251585_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58630	transcription factor	3	21695868	21696381
251586_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58070	GIS (GLABROUS INFLORESCENCE STEMS); nucleic acid binding / transcription factor/ zinc ion binding	3	21517851	21518245
251587_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58080	unknown protein	3	21521283	21521531
251588_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58090	pseudogene, disease resistance response protein-related, low similarity to pathogenesis-related protein (Pisum sativum) gi|4585273|gb|AAD25355; blastp match of 34% identity and 1.1e-18 P-value to GP|23617051|dbj|BAC20739.1||AP004342 disease resistance response protein-like {Oryza sativa (japonica cultivar-group)}	3	21523552	21524681
251589_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58040	seven in absentia (SINA) family protein	3	21501044	21502011
251590_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57690	AGP23/ATAGP23 (ARABINOGALACTAN-PROTEIN 23)	3	21395254	21395431
251591_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57680	peptidase S41 family protein	3	21393774	21394588
251592_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57670	NTT (NO TRANSMITTING TRACT); nucleic acid binding / transcription factor/ zinc ion binding	3	21382511	21384060
251593_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57660	NRPA1 (nuclear RNA polymerase A 1); DNA binding / DNA-directed RNA polymerase	3	21373207	21373774
251594_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57630	exostosin family protein	3	21350531	21351488
251595_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57620	glyoxal oxidase-related	3	21349614	21350127
251596_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57650	LPAT2 (Lysophosphatidyl acyltransferase 2); 1-acylglycerol-3-phosphate O-acyltransferase	3	21362566	21363722
251597_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57750	protein kinase, putative	3	21405486	21405931
251598_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57600	AP2 domain-containing transcription factor, putative	3	21344078	21344637
251599_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57610	ATPURA; adenylosuccinate synthase	3	21345517	21346447
251600_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57710	protein kinase family protein	3	21397299	21397797
251601_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57800	basic helix-loop-helix (bHLH) family protein	3	21419033	21419271
251602_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57785	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G42310.1); similar to unknown [Populus trichocarpa] (GB:ABK93776.1)	3	21415825	21416144
251603_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57760	protein kinase family protein	3	21407517	21408016
251604_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57820	60S ribosomal protein L21 (RPL21F), pseudogene, 60S RIBOSOMAL PROTEIN L21 - Arabidopsis thaliana, SWISSPROT:RL21_ARATH; blastp match of 75% identity and 2.5e-15 P-value to GP|3885884|gb|AAC78102.1||AF093630 60S ribosomal protein L21 {Oryza sativa}	3	21429266	21429798
251605_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57830	leucine-rich repeat transmembrane protein kinase, putative	3	21432796	21433294
251606_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57840	self-incompatibility protein-related	3	21433906	21434233
251607_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57850	similar to self-incompatibility protein-related [Arabidopsis thaliana] (TAIR:AT3G57840.1)	3	21435429	21435728
251608_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57860	UVI4-LIKE (UV-B-INSENSITIVE 4-LIKE)	3	21437862	21438585
251609_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57900	unknown protein	3	21453261	21453549
251610_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57930	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G42190.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN83221.1); contains InterPro domain HMG-I and HMG-Y, DNA-binding (InterPro:IPR000637)	3	21458232	21458631
251611_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57940	Identical to UPF0202 protein At3g57940 [Arabidopsis Thaliana] (GB:Q9M2Q4;GB:Q0WNS9); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G10490.1); similar to predicted protein [Physcomitrella patens subsp. patens] (GB:EDQ67800.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO71748.1); similar to N-acetyltransferase 10 [Danio rerio] (GB:CAN88420.1); contains InterPro domain Region of unknown function DUF1726 (InterPro:IPR013562)	3	21465576	21466785
251612_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57950	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G42180.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN83225.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO23380.1)	3	21471461	21471894
251613_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57960	emsy N terminus domain-containing protein / ENT domain-containing protein	3	21474140	21475162
251614_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57970	emsy N terminus domain-containing protein / ENT domain-containing protein	3	21476762	21477613
251615_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57980	DNA-binding bromodomain-containing protein	3	21477912	21478450
251616_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57990	similar to unnamed protein product [Vitis vinifera] (GB:CAO23382.1)	3	21481397	21481790
251617_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58000	VQ motif-containing protein	3	21485955	21486454
251618_at	oligonucleotide	Arabidopsis thaliana	no	no_match	no_match	no_match	no_match	no_match
251619_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58050	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G41960.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO23422.1); similar to hypothetical protein OsI_010342 [Oryza sativa (indica cultivar-group)] (GB:EAY89109.1); similar to Os03g0226600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001049440.1)	3	21507427	21507994
251620_at	oligonucleotide	Arabidopsis thaliana	no	AT3G58060	cation efflux family protein / metal tolerance protein, putative (MTPc3)	3	21508785	21509687
251621_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57700	protein kinase, putative	3	21396380	21396884
251622_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57340	DNAJ heat shock N-terminal domain-containing protein	3	21230679	21231224
251623_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57390	AGL18 (AGAMOUS-LIKE 18); transcription factor	3	21245618	21246707
251624_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57280	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G20510.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO23643.1); contains InterPro domain Protein of unknown function UPF0136, Transmembrane; (InterPro:IPR005349)	3	21205504	21206518
251625_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57260	BGL2 (PATHOGENESIS-RELATED PROTEIN 2); glucan 1,3-beta-glucosidase/ hydrolase, hydrolyzing O-glycosyl compounds	3	21199717	21200279
251626_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57220	UDP-GlcNAc:dolichol phosphate N-acetylglucosamine-1-phosphate transferase, putative	3	21186687	21187848
251627_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57270	BG1 (BETA-1,3-GLUCANASE 1); hydrolase, hydrolyzing O-glycosyl compounds	3	21202335	21203154
251628_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57290	EIF3E (eukaryotic translation initiation factor 3E)	3	21207765	21208696
251629_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57410	VLN3 (VILLIN 3); actin binding	3	21254689	21255612
251630_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57420	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G41770.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO23590.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN82225.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO40788.1)	3	21263653	21264283
251631_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57430	pentatricopeptide (PPR) repeat-containing protein	3	21266719	21267303
251632_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57440	similar to unknown [Picea sitchensis] (GB:ABK21938.1)	3	21269999	21271120
251633_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57460	catalytic/ metal ion binding / metalloendopeptidase/ zinc ion binding	3	21274090	21275130
251634_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57480	zinc finger (C2H2 type, AN1-like) family protein	3	21289063	21289604
251635_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57510	ADPG1 (endo-polygalacturonase 1); polygalacturonase	3	21294529	21295529
251636_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57530	CPK32 (CALCIUM-DEPENDENT PROTEIN KINASE 32); calmodulin-dependent protein kinase/ kinase	3	21307652	21308499
251637_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57570	binding	3	21330115	21331058
251638_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57490	40S ribosomal protein S2 (RPS2D)	3	21290829	21291630
251639_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57560	aspartate/glutamate/uridylate kinase family protein	3	21322183	21322740
251640_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57450	similar to unnamed protein product [Vitis vinifera] (GB:CAO40798.1)	3	21273015	21273293
251641_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57470	peptidase M16 family protein / insulinase family protein	3	21280992	21281879
251642_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57520	ATSIP2 (ARABIDOPSIS THALIANA SEED IMBIBITION 2); hydrolase, hydrolyzing O-glycosyl compounds	3	21300002	21300716
251643_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57550	AGK2 (GUANYLATE KINASE-ENCODING GENE 1)	3	21319193	21320160
251644_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57540	remorin family protein	3	21312631	21313583
251645_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57790	glycoside hydrolase family 28 protein / polygalacturonase (pectinase) family protein	3	21416417	21417023
251646_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57780	similar to nucleolar protein gar2-related [Arabidopsis thaliana] (TAIR:AT2G42320.1); similar to nucleolar protein gar2-related [Arabidopsis thaliana] (TAIR:AT2G42320.2); similar to unnamed protein product [Vitis vinifera] (GB:CAO23533.1)	3	21410826	21411499
251647_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57770	protein kinase, putative	3	21409091	21409512
251648_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57720	protein kinase, putative	3	21399299	21399742
251649_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57330	ACA11 (AUTOINHIBITED CA2+-ATPASE 11); calcium-transporting ATPase/ calmodulin binding	3	21222656	21223289
251650_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57360	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G02370.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO23622.1)	3	21236771	21237598
251651_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57370	transcription factor IIB (TFIIB) family protein	3	21237818	21238969
251652_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57380	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G41640.1); similar to glycosyltransferase [Medicago truncatula] (GB:CAI30145.1); contains InterPro domain Protein of unknown function DUF563 (InterPro:IPR007657)	3	21242143	21242644
251653_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57130	BOP1 (BLADE ON PETIOLE 1); protein binding	3	21160431	21160898
251654_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57140	SDP1-LIKE (SDP1-LIKE); GTP binding	3	21161732	21162311
251655_at	oligonucleotide	Arabidopsis thaliana	no	no_match	no_match	no_match	no_match	no_match
251656_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57170	N-acetylglucosaminyl transferase component family protein / Gpi1 family protein	3	21170613	21171350
251657_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57000	nucleolar essential protein-related	3	21103996	21105050
251658_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57020	strictosidine synthase family protein	3	21109521	21110213
251659_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57090	BIGYIN; binding	3	21139628	21140941
251660_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57160	unknown protein	3	21168749	21169693
251661_at	oligonucleotide	Arabidopsis thaliana	no	AT3G56950	SIP2;1 (SMALL AND BASIC INTRINSIC PROTEIN 2); transporter	3	21089598	21090500
251662_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57080	eukaryotic rpb5 RNA polymerase subunit family protein	3	21136935	21138449
251663_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57070	glutaredoxin family protein	3	21135809	21136400
251664_at	oligonucleotide	Arabidopsis thaliana	no	AT3G56940	AT103 (DICARBOXYLATE DIIRON 1)	3	21088498	21089243
251665_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57040	ARR9 (RESPONSE REACTOR 4); transcription regulator	3	21121244	21122204
251666_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57050	CBL (CYSTATHIONINE BETA-LYASE)	3	21122980	21123990
251667_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57150	NAP57 (ARABIDOPSIS THALIANA HOMOLOGUE OF NAP57)	3	21165327	21165818
251668_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57010	strictosidine synthase family protein	3	21106847	21107420
251669_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57180	GTP binding	3	21174644	21175246
251670_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57190	peptide chain release factor, putative	3	21178434	21179140
251671_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57210	similar to EMB2204 (EMBRYO DEFECTIVE 2204) [Arabidopsis thaliana] (TAIR:AT1G22090.1); contains InterPro domain Protein of unknown function DUF626, Arabidopsis thaliana (InterPro:IPR006462)	3	21184359	21184592
251672_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57230	AGL16 (AGAMOUS-LIKE 16); transcription factor	3	21188811	21191639
251673_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57240	BG3 (BETA-1,3-GLUCANASE 3); hydrolase, hydrolyzing O-glycosyl compounds	3	21192924	21193472
251674_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57250	emsy N terminus domain-containing protein / ENT domain-containing protein	3	21197757	21198216
251675_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57300	transcriptional activator, putative	3	21217504	21218608
251676_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57320	similar to hypothetical protein [Vitis vinifera] (GB:CAN80638.1)	3	21221076	21221625
251677_at	oligonucleotide	Arabidopsis thaliana	no	AT3G56980	BHLH039/ORG3 (OBP3-RESPONSIVE GENE 3); DNA binding / transcription factor	3	21097689	21098262
251678_at	oligonucleotide	Arabidopsis thaliana	no	AT3G56990	EDA7 (embryo sac development arrest 7)	3	21099341	21100001
251679_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57030	strictosidine synthase family protein	3	21112657	21113124
251680_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57060	binding	3	21126079	21126869
251681_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57100	Identical to UPF0496 protein At3g57100 [Arabidopsis Thaliana] (GB:Q9M1J0); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G34320.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO22906.1); contains InterPro domain Protein of unknown function DUF677 (InterPro:IPR007749)	3	21144240	21144698
251682_s_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57110;AT5G60370	[AT3G57110, similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G60370.1)];[AT5G60370, similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G57110.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN60322.1)]	[AT3G57110, 3];[AT5G60370, 5]	[AT3G57110, 21145963];[AT5G60370, 24300144]	[AT3G57110, 21146276];[AT5G60370, 24300457]
251683_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57120	protein kinase family protein	3	21150850	21151433
251684_at	oligonucleotide	Arabidopsis thaliana	no	AT3G56410	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G05190.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G61670.1); similar to hypothetical protein Kpol_1058p4 [Vanderwaltozyma polyspora DSM 70294] (GB:XP_001645325.1)	3	20927322	20927832
251685_at	oligonucleotide	Arabidopsis thaliana	no	AT3G56430	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G40800.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO41325.1); contains InterPro domain Mitochondrial import inner membrane translocase, subunit Tim21 (InterPro:IPR013261)	3	20934855	20935681
251686_at	oligonucleotide	Arabidopsis thaliana	no	AT3G56440	AtATG18d (Arabidopsis thaliana homolog of yeast autophagy 18 (ATG18) d)	3	20938472	20939520
251687_at	oligonucleotide	Arabidopsis thaliana	no	AT3G56460	oxidoreductase, zinc-binding dehydrogenase family protein	3	20944009	20944953
251688_at	oligonucleotide	Arabidopsis thaliana	no	AT3G56480	myosin heavy chain-related	3	20947618	20948496
251689_at	oligonucleotide	Arabidopsis thaliana	no	AT3G56500	serine-rich protein-related	3	20954635	20954908
251690_at	oligonucleotide	Arabidopsis thaliana	no	AT3G56510	TBP-binding protein, putative	3	20955327	20956842
251691_at	oligonucleotide	Arabidopsis thaliana	no	AT3G56520	no apical meristem (NAM) family protein	3	20958090	20958701
251692_s_at	oligonucleotide	Arabidopsis thaliana	no	AT3G52020;AT3G56540	[AT3G52020, SCPL39 (serine carboxypeptidase-like 39); serine carboxypeptidase];[AT3G56540, serine carboxypeptidase, putative]	[AT3G52020, 3];[AT3G56540, 3]	[AT3G52020, 19310485];[AT3G56540, 20962000]	[AT3G52020, 19311876];[AT3G56540, 20962853]
251693_at	oligonucleotide	Arabidopsis thaliana	no	AT3G56550	pentatricopeptide (PPR) repeat-containing protein	3	20963880	20964472
