agi	family
AT4G30080	ABI3/VP1
AT4G30080	ARF
AT4G30180	BHLH
AT4G30410	BHLH
AT4G30935	WRKY
AT4G30980	BHLH
AT4G31060	AP2/EREBP
AT4G31270	TRIHELIX
AT4G31420	C2H2
AT4G31550	WRKY
AT4G31795	WRKY
AT4G32010	ABI3/VP1
At4g32040	KNOX
AT4G32275	AUX/IAA
AT4G32730	MYB
AT4G32800	AP2/EREBP
At4g32880	HD-Zip III
AT4G32890	C2C2-GATA
At4g32980	BEL
AT4G33450	MYB
AT4G33880	BHLH
AT4G34000	BZIP
AT4G34410	AP2/EREBP
AT4G34530	BHLH
AT4G34590	BZIP
At4g34610	BEL
AT4G34680	C2C2-GATA
AT4G34990	MYB
AT4G35040	BZIP
AT4G35270	NIN-LIKE
AT4G35280	C2H2
At4g35550	WOX
AT4G35580	NAC
AT4G35590	NIN-LIKE
AT4G35610	C2H2
AT4G35700	C2H2
AT4G35900	BZIP
AT4G36060	BHLH
AT4G36160	NAC
AT4G36240	C2C2-GATA
AT4G36540	BHLH
AT4G36590	MADS
AT4G36620	C2C2-GATA
AT4G36710	GRAS
AT4G36730	BZIP
At4g36740	HD-Zip I
At4g36870	BEL
AT4G36900	AP2/EREBP
AT4G36920	AP2/EREBP
AT4G36930	BHLH
AT4G36990	HSF
AT4G37260	MYB
AT4G37650	GRAS
AT4G37730	BZIP
AT4G37740	GRF
AT4G37750	AP2/EREBP
AT4G37780	MYB
At4g37790	HD-Zip II
AT4G37850	BHLH
AT4G37940	MADS
AT4G38000	C2C2-DOF
AT4G38071	BHLH
AT4G38340	NIN-LIKE
AT4G38620	MYB
AT4G38900	BZIP
AT4G38960	C2C2-CO-LIKE
AT4G39070	C2C2-CO-LIKE
AT4G39160	MYB
AT4G39410	WRKY
AT4G39780	AP2/EREBP
At4g40060	HD-Zip I
AT5G01160	C2H2
AT5G01200	MYB
AT5G01310	BHLH
AT5G01380	TRIHELIX
AT5G01860	C2H2
AT5G01900	WRKY
At5g02030	BEL
AT5G02320	MYB
AT5G02460	C2C2-DOF
AT5G02470	E2F/DP
AT5G02660	C2H2
AT5G02840	MYB
AT5G03150	C2H2
AT5G03415	E2F/DP
AT5G03510	C2H2
AT5G03680	TRIHELIX
AT5G03720	HSF
AT5G03740	C2H2
At5g03790	HD-Zip I
AT5G04150	BHLH
AT5G04240	C2H2
AT5G04240	JUMONJI
AT5G04340	C2H2
AT5G04390	C2H2
AT5G04400	NAC
AT5G04410	NAC
AT5G04640	MADS
AT5G04760	MYB
AT5G05120	C2H2
AT5G05410	AP2/EREBP
AT5G05550	TRIHELIX
AT5G05610	ALFIN-LIKE
At5g05770	WOX
AT5G05790	MYB
AT5G06070	C2H2
AT5G06100	MYB
AT5G06250	ABI3/VP1
AT5G06500	MADS
AT5G06510	CCAAT-HAP2
AT5G06650	C2H2
At5g06710	HD-Zip II
AT5G06839	BZIP
AT5G06950	BZIP
AT5G06960	BZIP
AT5G07100	WRKY
AT5G07160	BZIP
AT5G07310	AP2/EREBP
AT5G07580	AP2/EREBP
AT5G07680	NAC
AT5G07690	MYB
AT5G07700	MYB
AT5G08070	TCP
AT5G08130	BHLH
AT5G08141	BZIP
AT5G08190	CCAAT-DR1
AT5G08330	TCP
AT5G08520	MYB
AT5G08790	NAC
AT5G09330	NAC
AT5G09410	CAMTA
AT5G09460	BHLH
AT5G09750	BHLH
AT5G10030	BZIP
AT5G10120	EIL
AT5G10140	MADS
AT5G10280	MYB
AT5G10510	AP2/EREBP
AT5G10570	BHLH
AT5G10970	C2H2
AT5G11050	MYB
At5g11060	KNOX
AT5G11190	AP2/EREBP
AT5G11260	BZIP
AT5G11510	MYB
AT5G11590	AP2/EREBP
AT5G12400	PHD
AT5G12840	CCAAT-HAP2
AT5G12870	MYB
AT5G13080	WRKY
AT5G13180	NAC
AT5G13330	AP2/EREBP
AT5G13790	MADS
AT5G13910	AP2/EREBP
AT5G14000	NAC
AT5G14010	C2H2
AT5G14140	C2H2
AT5G14280	GEBP
AT5G14340	MYB
AT5G14490	NAC
AT5G14750	MYB
AT5G14960	E2F/DP
AT5G15130	WRKY
At5g15150	HD-Zip I
AT5G15160	BHLH
AT5G15210	ZF-HD
AT5G15310	MYB
AT5G15480	C2H2
AT5G15800	MADS
AT5G15820	C3H
AT5G15830	BZIP
AT5G15840	C2C2-CO-LIKE
AT5G15850	C2C2-CO-LIKE
AT5G16470	C2H2
AT5G16600	MYB
AT5G16770	MYB
AT5G16820	HSF
AT5G17260	NAC
At5g17320	HD-Zip IV
AT5G17430	AP2/EREBP
AT5G17490	GRAS
AT5G17800	MYB
At5g17810	WOX
AT5G18270	NAC
AT5G18300	NAC
AT5G18450	AP2/EREBP
AT5G18560	AP2/EREBP
AT5G18680	TUB
AT5G18830	SBP
AT5G19790	AP2/EREBP
AT5G20240	MADS
AT5G20510	ALFIN-LIKE
AT5G20730	ARF
AT5G21120	EIL
AT5G21960	AP2/EREBP
AT5G22220	E2F/DP
AT5G22260	PHD
AT5G22290	NAC
AT5G22380	NAC
AT5G22570	WRKY
AT5G22890	C2H2
AT5G22990	C2H2
AT5G23000	MYB
AT5G23090	CCAAT-DR1
AT5G23260	MADS
AT5G23280	TCP
AT5G23650	MYB
AT5G24110	WRKY
AT5G24590	NAC
AT5G24800	BZIP
AT5G24930	C2C2-CO-LIKE
AT5G25160	C2H2
AT5G25190	AP2/EREBP
At5g25220	KNOX
AT5G25390	AP2/EREBP
AT5G25790	CPP
AT5G25810	AP2/EREBP
AT5G25830	C2C2-GATA
AT5G25890	AUX/IAA
AT5G26170	WRKY
AT5G26210	ALFIN-LIKE
AT5G26610	C2H2
AT5G26630	MADS
AT5G26650	MADS
AT5G26660	MYB
AT5G26870	MADS
AT5G26930	C2C2-GATA
AT5G26950	MADS
AT5G27050	MADS
AT5G27070	MADS
AT5G27090	MADS
AT5G27130	MADS
AT5G27580	MADS
AT5G27880	C2H2
AT5G27910	CCAAT-HAP5
AT5G27960	MADS
AT5G28040	GEBP
AT5G28300	TRIHELIX
AT5G28650	WRKY
AT5G28770	BZIP
AT5G35210	PHD
AT5G35550	MYB
AT5G36670	PHD
AT5G37020	ARF
AT5G37260	MYB
AT5G37420	MADS
AT5G37800	BHLH
AT5G38140	CCAAT-HAP5
AT5G38620	MADS
AT5G38740	MADS
AT5G38800	BZIP
AT5G38860	BHLH
AT5G39610	NAC
AT5G39660	C2C2-DOF
AT5G39690	NAC
AT5G39700	MYB
AT5G39750	MADS
AT5G39760	ZF-HD
AT5G39810	MADS
AT5G39820	NAC
AT5G39860	BHLH
AT5G40120	MADS
AT5G40220	MADS
AT5G40310	C2H2
AT5G40330	MYB
AT5G40350	MYB
AT5G40360	MYB
AT5G40430	MYB
AT5G40710	C2H2
AT5G41030	TCP
AT5G41090	NAC
AT5G41200	MADS
AT5G41315	BHLH
At5g41410	BEL
AT5G41570	WRKY
AT5G41920	GRAS
AT5G42640	C2H2
AT5G42780	ZF-HD
AT5G42910	BZIP
AT5G43170	C2H2
AT5G43175	BHLH
AT5G43250	CCAAT-HAP5
AT5G43270	SBP
AT5G43290	WRKY
AT5G43410	AP2/EREBP
AT5G43540	C2H2
AT5G43620	C2H2
AT5G43650	BHLH
AT5G43700	AUX/IAA
AT5G43840	HSF
AT5G44080	BZIP
AT5G44160	C2H2
At5g44180	Similar to HOX7 (tomato)
AT5G44210	AP2/EREBP
AT5G45050	WRKY
AT5G45270	WRKY
AT5G45710	HSF
At5g45980	WOX
At5g46010	WOX
AT5G46350	WRKY
AT5G46590	NAC
AT5G46691	BHLH
AT5G46760	BHLH
AT5G46830	BHLH
At5g46880	HD-Zip IV
AT5G46910	JUMONJI
AT5G47140	C2C2-GATA
AT5G47220	AP2/EREBP
AT5G47230	AP2/EREBP
At5g47370	HD-Zip II
AT5G47390	MYB
AT5G47640	CCAAT-HAP3
AT5G47660	TRIHELIX
AT5G47670	CCAAT-HAP3
AT5G48150	GRAS
AT5G48250	C2C2-CO-LIKE
AT5G48560	BHLH
AT5G48670	MADS
AT5G48890	C2H2
AT5G49300	C2C2-GATA
AT5G49330	MYB
AT5G49420	MADS
AT5G49450	BZIP
AT5G49490	MADS
AT5G49520	WRKY
AT5G49620	MYB
AT5G50010	BHLH
AT5G50080	AP2/EREBP
AT5G50470	CCAAT-HAP5
AT5G50480	CCAAT-HAP5
AT5G50490	CCAAT-HAP5
AT5G50570	SBP
AT5G50670	SBP
AT5G50820	NAC
AT5G50915	BHLH
AT5G51190	AP2/EREBP
AT5G51230	C2H2
AT5G51530	C2H2
AT5G51780	BHLH
AT5G51790	BHLH
AT5G51860	MADS
AT5G51870	MADS
AT5G51910	TCP
AT5G51990	AP2/EREBP
AT5G52010	C2H2
AT5G52020	AP2/EREBP
At5g52170	HD-Zip IV
AT5G52260	MYB
AT5G52510	GRAS
AT5G52600	MYB
AT5G52660	MYB
AT5G52830	WRKY
AT5G53040	NIN-LIKE
AT5G53200	MYB
AT5G53210	BHLH
AT5G53290	AP2/EREBP
AT5G53660	GRF
AT5G53950	NAC
At5g53980	HD-Zip I
AT5G54070	HSF
AT5G54230	MYB
AT5G54340	C2H2
AT5G54360	C2H2
AT5G54470	C2C2-CO-LIKE
AT5G54630	C2H2
AT5G54680	BHLH
AT5G55020	MYB
AT5G55690	MADS
AT5G56110	MYB
AT5G56200	C2H2
AT5G56270	WRKY
AT5G56620	NAC
AT5G56840	MYB
AT5G56860	C2C2-GATA
AT5G56960	BHLH
AT5G57150	BHLH
AT5G57390	AP2/EREBP
AT5G57420	AUX/IAA
AT5G57520	C2H2
AT5G57620	MYB
AT5G57660	C2C2-CO-LIKE
AT5G58010	BHLH
AT5G58610	PHD
AT5G58850	MYB
AT5G58890	MADS
AT5G58900	MYB
At5g59340	WOX
AT5G59450	GRAS
AT5G59780	MYB
AT5G59820	C2H2
AT5G60120	AP2/EREBP
AT5G60200	C2C2-DOF
AT5G60440	MADS
AT5G60450	ARF
AT5G60470	C2H2
AT5G60480	ZF-HD
At5g60690	HD-Zip III
AT5G60830	BZIP
AT5G60850	C2C2-DOF
AT5G60890	MYB
AT5G60910	MADS
AT5G60970	TCP
AT5G61190	C2H2
AT5G61270	BHLH
AT5G61420	MYB
AT5G61430	NAC
AT5G61470	C2H2
AT5G61590	AP2/EREBP
AT5G61600	AP2/EREBP
AT5G61620	MYB
AT5G61850	LFY
AT5G61860	LFY
AT5G61870	LFY
AT5G61890	AP2/EREBP
AT5G61940	C2H2
AT5G61950	C2H2
AT5G62000	ARF
AT5G62010	ARF
AT5G62020	HSF
AT5G62165	MADS
AT5G62320	MYB
AT5G62380	NAC
AT5G62430	C2C2-DOF
AT5G62470	MYB
AT5G62610	BHLH
AT5G62940	C2C2-DOF
AT5G63280	C2H2
AT5G63430	TRIHELIX
AT5G63470	CCAAT-HAP5
AT5G63790	NAC
AT5G63900	PHD
AT5G64060	NAC
AT5G64220	CAMTA
AT5G64340	BHLH
AT5G64530	NAC
AT5G64750	AP2/EREBP
AT5G64811	WRKY
AT5G65050	MADS
AT5G65060	MADS
AT5G65070	MADS
AT5G65080	MADS
AT5G65100	EIL
AT5G65130	AP2/EREBP
AT5G65210	BZIP
AT5G65230	MYB
At5g65310	HD-Zip I
AT5G65320	BHLH
AT5G65330	MADS
AT5G65410	ZF-HD
AT5G65510	AP2/EREBP
AT5G65590	C2C2-DOF
AT5G65640	BHLH
AT5G65670	AUX/IAA
AT5G65790	MYB
AT5G66300	NAC
AT5G66320	C2C2-GATA
At5g66700	HD-Zip I
AT5G66730	C2H2
AT5G66770	GRAS
AT5G66940	C2C2-DOF
AT5G66990	NIN-LIKE
AT5G67000	AP2/EREBP
AT5G67010	AP2/EREBP
AT5G67060	BHLH
AT5G67111	BHLH
AT5G67180	AP2/EREBP
AT5G67190	AP2/EREBP
AT5G67300	MYB
AT5G67450	C2H2
AT5G67580	MYB
